EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;SANCIONADO
2013;;;111;;Impuestos Directos;5147268000
2013;;;112;;Impuestos Indirectos;28059918400
2013;;;113;;Impuestos Nacionales;3896052700
2013;;;130;;Ingresos No Tributarios;1703929000
2013;;;140;;Venta de Bienes y Servicios;267514900
2013;;;160;;Rentas de la Propiedad;50000000
2013;;;170;;Transferencias Corrientes;428620000
2013;;;210;;Recursos Propios de Capital;401793000
2013;;;220;;Transferencias de Capital ;523636500
2013;;;230;;Disminución de la Inversión Financiera;53725000
