EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;SANCIONADO
2013;010010010;11;120;11;RETRIBUCION DEL CARGO;247000000
2013;010010010;11;120;11;SUELDO ANUAL COMPLEMENTARIO;20000000
2013;010010010;11;120;11;CONTRIBUCIONES PATRONALES;40000000
2013;010010010;11;120;11;RETRIBUCION DEL CARGO;154800000
2013;010010010;11;120;11;SUELDO ANUAL COMPLEMENTARIO;13000000
2013;010010010;11;120;11;CONTRIBUCIONES PATRONALES;31270000
2013;010010010;11;120;11;PERSONAL PERMANENTE;4000000
2013;010010010;11;131;11;ALIMENTOS PARA PERSONAS;824604
2013;010010010;11;131;11;MADERA, CORCHO Y SUS MANUFACTURAS;821102
2013;010010010;11;131;11;PRENDAS DE VESTIR;836203
2013;010010010;11;131;11;PAPEL Y CARTON PARA OFICINA;813661
2013;010010010;11;131;11;PAPEL Y CARTON PARA COMPUTACION;832482
2013;010010010;11;131;11;MANUFACTURA DE PULPA, PAPEL Y CARTION;819789
2013;010010010;11;131;11;LIBROS, REVISTAS Y PERIODICOS;820665
2013;010010010;11;131;11;TINTAS, PINTURAS Y COLORANTES;832482
2013;010010010;11;131;11;COMBUSTIBLES Y LUBRICANTES;809065
2013;010010010;11;131;11;PRODUCTOS DE MATERIAL PLASTICO;814318
2013;010010010;11;131;11;PRODUCTOS DE VIDRIO;804470
2013;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;808847
2013;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;822634
2013;010010010;11;131;11;PETROLEO CRUDO Y GAS NATURAL;801318
2013;010010010;11;131;11;PIEDRA, ARCILLA Y ARENA;801143
2013;010010010;11;131;11;ELEMENTOS DE LIMPIEZA;822853
2013;010010010;11;131;11;UTILES DE ESCRITORIO, OFICINA Y ENSEÑANZA;832045
2013;010010010;11;131;11;UTILES Y MATERIALES ELECTRICOS;818476
2013;010010010;11;131;11;REPUESTOS Y ACCESORIOS;814974
2013;010010010;11;131;11;HERRAMIENTAS MENORES;812567
2013;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;16732835
2013;010010010;11;132;11;ENERGIA ELECTRICA;1098984
2013;010010010;11;132;11;AGUA;187474
2013;010010010;11;132;11;GAS;206868
2013;010010010;11;132;11;TELEFONOS, TELEX Y TELEFAX;1163630
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;1923231
2013;010010010;11;132;11;ALQUILER DE EDIFICIOS Y LOCALES;1002015
2013;010010010;11;132;11;ALQUILER DE MAQUINARIA, EQUIPO Y MEDIOS DE TRANSPORTE;226262
2013;010010010;11;132;11;ALQUILER DE FOTOCOPIADORAS;1551507
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;3460599
2013;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE EDIFICIOS Y LOCALES;1616153
2013;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE VEHICULOS;74344
2013;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;465452
2013;010010010;11;132;11;LIMPIEZA, ASEO Y FUMIGACION;4738560
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;36657042
2013;010010010;11;132;11;DE CAPACITACION;937112
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;21460303
2013;010010010;11;132;11;TRANSPORTE Y ALMACENAMIENTO;446059
2013;010010010;11;132;11;SERVICIOS ESPECIALIZADOS;525139
2013;010010010;11;132;11;PRIMAS Y GASTOS DE SEGUROS;556557
2013;010010010;11;132;11;COMISIONES Y GASTOS BANCARIOS;309053
2013;010010010;11;132;11;SISTEMAS INFORMATICOS Y DE REGISTRO;1163630
2013;010010010;11;132;11;SERVICIO DE VIGILANCIA;1292922
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;5504030
2013;010010010;11;132;11;PUBLICIDAD Y PROPAGANDA;7757532
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2300000
2013;010010010;11;132;11;PASAJES;969692
2013;010010010;11;132;11;VIATICOS;323231
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;710000
2013;010010010;11;132;11;DERECHOS Y TASAS;45253
