ejercicio;programa;subprograma;proyecto;descripcion
2013;016;01600;0160000;FORMACION Y SANCION DE LEYES
2013;016;01600;0160001;PUESTA EN VALOR FACHADA DE LA TORRE RELOJ LEGISLATURA
2013;016;01600;0160002;REPARACION Y PUESTA EN VALOR EDIFICIO DE LA LEGISLATURA DE LA CIUDAD DE BUENOS AIRES
2013;016;01600;0160060;A.CU.MA.R. -NUEVA CENTRALIDAD ADMINISTRATIVA EN AREA SUDESTE DE LA CIUDAD.
2013;016;01600;;FORMACION Y SANCION DE LEYES
2013;016;01601;0160100;CENTRO DE FORMACION JUDICIAL
2013;016;01601;;CENTRO DE FORMACION JUDICIAL
2013;016;01602;0160200;PLANIFICACION Y GESTION DE POLITICA JUDICIAL
2013;016;01602;;PLANIFICACION Y GESTION DE POLITICA JUDICIAL
2013;016;;;FORMACION Y SANCION DE LEYES
2013;010;01000;0100000;ASESORIA GENERAL TUTELAR
2013;010;01000;0100001;PUESTA EN VALOR DE PLAYAS DEL PARQUE ROCA Y DEL PARQUE DE LOS NIÑOS
2013;010;01000;0100093;SERVICIOS DE MANTENIMIENTO - COMUNA 10
2013;010;01000;;ASESORIA GENERAL TUTELAR
2013;010;;;ASESORIA GENERAL TUTELAR
2013;020;02000;0200000;MINISTERIO PUBLICO DE LA  DEFENSA
2013;020;02000;0200001;REFACCION EDIFICIO MEXICO
2013;020;02000;0200002;READECUACION SEDES MINISTERIO PUBLICO DE LA DEFENSA
2013;020;02000;;MINISTERIO PUBLICO DE LA  DEFENSA
2013;020;;;MINISTERIO PUBLICO DE LA  DEFENSA
2013;030;03000;0300000;MINISTERIO PUBLICO FISCAL
2013;030;03000;0300001;MEJORAMIENTO DE VILLAS
2013;030;03000;;MINISTERIO PUBLICO FISCAL
2013;030;03001;0300100;ACCESO A LA JUSTICIA
2013;030;03001;;ACCESO A LA JUSTICIA
2013;030;03002;0300200;INV.Y RES.PENAL, CONTR.Y FALTA
