ejercicio;jurisdiccion;servicio;unidad_ejecutora;descripcion
2013;01;01001;010010010;SECRETARIA ADMINISTRATIVA
2013;01;01001;;LEGISLATURA CABA
2013;01;;;LEGISLATURA DE LA CIUDAD DE BUENOS AIRES
2013;05;05005;050050070;MINISTERIO PUBLICO
2013;05;05005;;MINISTERIO PUBLICO
2013;05;;;MINISTERIO PUBLICO
2013;06;06006;060060050;TRIBUNAL SUPERIOR
2013;06;06006;;TRIBUNAL SUPERIOR
2013;06;;;TRIBUNAL SUPERIOR DE JUSTICIA
2013;07;07007;070070051;CONSEJO DE LA MAGISTRATURA
2013;07;07007;;CONSEJO DE LA MAGIST
2013;07;;;CONSEJO DE LA MAGISTRATURA
2013;09;09009;090090730;PROCURACION GENERAL
2013;09;09009;;PROCURACION GENERAL
2013;09;;;PROCURACION GENERAL  DE LA CIUDAD
2013;20;20020;200200100;JEFE DE GOBIERNO
2013;20;20020;200200168;U.DE COORD.PLAN ESTRATEGICO
2013;20;20020;;JEFATURA DE GOBIERNO
2013;20;20218;202180110;VICE JEFE DE GOBIERNO
2013;20;20218;202180121;SEC.DESARR.CIUDADANO
2013;20;20218;202182005;DIR. GRAL POL. JUV
2013;20;20218;202182006;DIR.DESARR.SALUDABLE
2013;20;20218;;VICEJEFATURA DE GOB.
2013;20;20220;202200102;SEC. GRAL.
2013;20;20220;202200119;DIR.GRAL.DE CONTENIDOS
2013;20;20220;202200936;D.GRAL.DE CULTOS
2013;20;20220;202202020;SUSEC.REL.INTER E INST
2013;20;20220;202202021;DIR.GRAL.PROT Y CEREM
2013;20;20220;202202022;DIR.GRAL.REL.INTER COOP
2013;20;20220;202202025;SUBSEC. CONTENIDOS
2013;20;20220;202202026;DIR.GRAL.PLANIF.COMUNIC
2013;20;20220;202202027;UPE OP.PUBL.Y COMUN.
2013;20;20220;;SECRETARIA GENERAL
2013;20;20230;202300106;SEC.DE COMUN SOCIAL
2013;20;20230;;SECR.COMUNIC.SOCIAL
2013;20;20240;202400101;SEC. LEGAL Y TECNICA
2013;20;20240;202400118;DIR. GRAL. ESCCRIBANIA GRAL.
2013;20;20240;202400146;DIR.GRAL.MESA DE ESYA
2013;20;20240;;SECR.LEGAL Y TEC.
2013;20;20254;202540214;SECRETARIA DE MEDIOS
2013;20;20254;202540215;DIR. GRAL. NUEVOS MEDIOS
2013;20;20254;202540216;DIR. GRAL. COORD. PRENSA
2013;20;20254;202542500;LS1 Radio Cd y FM
2013;20;20254;202542501;Se?al Cable Cd.Ab.
2013;20;20254;;SECRETARIA DE MEDIOS
2013;20;20210;202100112;CONS.DER.NI?AS/OS, ADOLESC.
2013;20;20210;;CONS.N.N.ADOLES
2013;20;20215;202150113;ENTE REGULADOR SERV. PUB
2013;20;20215;;ENTE REG SERV PUBLIC
2013;20;20117;201172191;CONS. ECO SOCIAL
2013;20;20117;;Ex Consejo Eco Soc
2013;20;;;JEFATURA DE GOBIERNO
2013;21;21021;210210276;CUERPO AGTE CTROL TRANS.TRANS.
2013;21;21021;210210277;DIR.GRAL.DE SEGURIDAD VIAL
2013;21;21021;210210318;D.G.DE MOVILIDAD SALUDABLE
2013;21;21021;210210320;SUBSECRETARIA DE TRANSPORTE
2013;21;21021;210210322;DIR.GRAL DE TRANSITO
2013;21;21021;210210331;SUBTERRANEOS DE BUENOS AIRES
2013;21;21021;210210721;D.GRAL LICENCIAS
2013;21;21021;210210757;DIR.GRAL DE TRANSPORTE
2013;21;21021;210212010;Subs.Der.Hum.Plur
2013;21;21021;210212012;UNIDAD DE PROY ESP CONSTR CIU
2013;21;21021;210212013;CONS.GTION.PQUE MEMORIA
2013;21;21021;210212051;JEFE DE GABINETE
2013;21;21021;210212134;SUBSEC.DE ASUNTOS PUBLICOS
2013;21;21021;210212152;SUBS.PLANEAM.Y CTROL GESTION
2013;21;21021;;JEFATURA DE GABINETE
2013;21;21271;212712173;INST. ESPAC. MEMORIA
2013;21;21271;;INST. ESPAC. MEMORIA
2013;21;;;JEFATURA DE GABINETE DE MINISTROS
2013;26;26026;260260151;DIR.GRAL.CUSTODIA Y SEG.BIENES
2013;26;26026;260260152;DIR.GRAL.GUARDIA DE AUX.Y EMER
2013;26;26026;260260153;DIR.GRAL.DE DEFENSA CIVIL
2013;26;26026;260260278;DIR.GRAL.DE POL DE SEGURIDAD
2013;26;26026;260260282;MINISTERIO DE JUSTICIA Y SEGUR
2013;26;26026;260260677;Dir.Gral.Log?stica
2013;26;26026;260260678;SUBSECRETARIA DE EMERGENCIAS
2013;26;26026;260260728;D.GRAL. SEGURIDAD PRIVADA
2013;26;26026;260260763;SUBS.DE JUSTICIA
2013;26;26026;260260793;D.G.JUSTICIA, REG.Y MEDIACION
2013;26;26026;260260799;D.GRAL.ELECTORAL
2013;26;26026;260260866;D.GRAL.ADMINISTR.DE INFRACCION
2013;26;26026;260262183;Subs.Seg.Ciudadana
2013;26;26026;260262184;Subs.Prev.Delito y Rel.Com
2013;26;26026;;MIN. DE JUST. SEGUR.
2013;26;26290;262900868;DGAYL POL. METROPOL.
2013;26;26290;262900871;POL.METROPOLITANA
2013;26;26290;;PLAN DE SEG. PUB.
2013;26;26261;262618262;AGENCIA GUBERN CTROL
2013;26;26261;262618263;D.G. CTROL. FALTAS ESPECIALES
2013;26;26261;262618270;HAB Y PERMISOS
2013;26;26261;262618341;DG FISCAL Y CTROL
2013;26;26261;262618370;DIR.GRAL.FISCALIZ.O.CATASTRO
2013;26;26261;262618652;DG HIG. Y SEG.ALIMENTARIA
2013;26;26261;;AGCIA GUBERN CTROL
2013;26;26264;262640869;INST.SUP.DE SEG.PUBLICA
2013;26;26264;;INST.SUP.SEG.PUB
2013;26;;;MINISTERIO DE JUSTICIA Y SEGURIDAD
2013;28;28028;280280167;DIR.GRAL ASUNTOS LEG.Y ORG.CTR
2013;28;28028;280282155;SUBSECRET.DE GOBIERNO
2013;28;28028;280282180;Min.Gobierno
2013;28;28028;280282181;Subs.Asuntos Pol?ticos
2013;28;28028;280282182;Subs.Asuntos Federales
2013;28;28028;280282801;UPE - AMBA
2013;28;28028;280282802;DG COORD PROG FEDERALES
2013;28;28028;280282803;DG RELAC CON PROV Y MUNIC
2013;28;28028;280282820;DIR.GRAL.PROGR.COOP.INTERJ
2013;28;28028;280285000;CASAS DE LA CDAD. BS. AS
2013;28;28028;280285013;UPE ACUMAR
2013;28;28028;280289935;DIR.GRAL.REGISTRO CIVIL
2013;28;28028;;Min.Gobierno
2013;28;;;MINISTERIO DE GOBIERNO
2013;30;30030;300300300;MINISTERIO DE DESARROLLO URB
2013;30;30030;300300303;UPE-ARROYO MALDONADO
2013;30;30030;300300305;SUBS.COORDINA.Y SEGUIM,GESTION
2013;30;30030;300300306;DIR.GRAL.COORD.INSTIT.Y COM.
2013;30;30030;300300307;DIR.GRAL.PROY. URB.Y ARQ.
2013;30;30030;300300309;SUBS.PROY.DE URB.ARQ.E INFRAES
2013;30;30030;300300312;DIR. GRAL  OBRAS  ARQUITECTURA
2013;30;30030;300300319;UPE DISTRITO GUBERNAMENTAL
2013;30;30030;300300329;SUBTERRANEOS DE BUENOS AIRES
2013;30;30030;300300333;CONSEJO DEL PLAN URBANO AMBIEN
2013;30;30030;300300360;UPE OBRA RED SUBTERRANEOS
2013;30;30030;300300366;DIR.GRAL INTERPR.URBANISTICA
2013;30;30030;300300797;UN.EJECUTORA EXAU3
2013;30;30030;300300807;D.G.PLANEAMIENTO
2013;30;30030;300302301;DIR.GRAL.DE INFRAESTRUCTURA
2013;30;30030;300302303;DIR.GRAL.OBRAS DE INGENIERIA
2013;30;30030;300302502;Sec.Planeam.
2013;30;30030;300308367;DIR.GRAL.DE REGISTROS
2013;30;30030;;MIN.DES.URBANO
2013;30;;;MINISTERIO DE DESARROLLO URBANO
2013;35;35035;350352351;DG FERIAS Y MERCADOS
2013;35;35035;350352354;DIREC.GRAL.DE VIAS PEATONALES
2013;35;35035;350352355;D.G. REGENERACION URBANA
2013;35;35035;350352356;D.G. INSP.USO ESP.PUBLICO
2013;35;35035;350352504;D. G. Sist.Pluv
2013;35;35035;350358503;MIN.AMBIENTE Y ESP PUBLI
2013;35;35035;350358729;D. G. Comunicaci?n
2013;35;35035;350358737;DG LIMPIEZA
2013;35;35035;350358738;DG ESPACIOS VERDES
2013;35;35035;350358739;DIREC.GRAL.DE ARBOLADO
2013;35;35035;350358743;DIR. GRAL TRATAM. Y NUEVAS TEC
2013;35;35035;350358771;SUBS.MANT.ESP.P?BLICO
2013;35;35035;350358779;DG ORD. ESPACIO PUBLICO
2013;35;35035;350358804;DG CEMENTERIOS
2013;35;35035;350358807;D.G.ALUMBRADO
2013;35;35035;350358834;DG DE RECICLADO
2013;35;35035;350358837;SS HIG. URBANA
2013;35;35035;350358838;DG INSPECCION HIG URBANA
2013;35;35035;350358857;D.G. Mant.y Talleres
2013;35;35035;350358911;SUBS. DE USO  DEL ESP.P?BLICO
2013;35;35035;;MIN. AMB. Y ESP. PUB
2013;35;35351;353518811;EMUI
2013;35;35351;;ENT.MANT.URB.INT.
2013;35;35352;353528736;EHU
2013;35;35352;;ENTE DE HIGIENE URBA
2013;35;35933;359338933;AGENCIA AMBIENTAL
2013;35;35933;359338934;D.G.DE CONTROL
2013;35;35933;359338935;DIREC.GRAL.DE EVALUAC.TECNICA
2013;35;35933;359338939;D G ESTRATEGIAS AMBIENTALES
2013;35;35933;;AGENCIA AMBIENTAL
2013;35;;;MINISTERIO DE AMBIENTE Y ESPACIO PUBLICO
2013;40;40040;400400401;MINISTERIO DE SALUD
2013;40;40040;400400404;DIR.GRAL.DE RECURSOS FISICOS E
2013;40;40040;400400410;HTAL.TEODORO ALVAREZ
2013;40;40040;400400411;HTAL. TORCUATO DE ALVEAR
2013;40;40040;400400412;HTAL. COSME ARGERICH
2013;40;40040;400400413;HTAL. JOSE T. BORDA
2013;40;40040;400400414;HTAL. MARIA CURIE
2013;40;40040;400400415;HTAL. ODONT.JOSE DUE?AS
2013;40;40040;400400416;HTAL. CARLOS G. DURAND
2013;40;40040;400400417;HTAL. PEDRO DE ELIZALDE
2013;40;40040;400400418;HTAL. JUAN A. FERNANDEZ
2013;40;40040;400400419;HTAL. MARIA FERRER
2013;40;40040;400400420;HTAL. RICARDO GUTIERREZ
2013;40;40040;400400421;HTAL. PEDRO LAGLEYZE
2013;40;40040;400400422;HTAL. BRAULIO MOYANO
2013;40;40040;400400423;HTAL. FRANCISCO J.MU?IZ
2013;40;40040;400400424;HTAL. DE ODONTOLOGIA
2013;40;40040;400400425;HTAL. JOSE M. PENNA
2013;40;40040;400400426;HTAL. PARMENIO PI?ERO
2013;40;40040;400400427;HTAL. IGNACIO PIROVANO
2013;40;40040;400400428;HTAL. DE QUEMADOS
2013;40;40040;400400429;HTAL. ODONT.QUINQUELA MARTIN
2013;40;40040;400400430;HTAL. JOSE M.RAMOS MEJIA
2013;40;40040;400400431;HTAL. BERNARDINO RIVADAVIA
2013;40;40040;400400432;HTAL. MANUEL ROCCA
2013;40;40040;400400433;HTAL. SANTA LUCIA
2013;40;40040;400400434;HTAL.DONAC.F.SANTOJANNI
2013;40;40040;400400435;HTAL. RAMON SARDA
2013;40;40040;400400436;TALLERES PROT.DE REHAB.PSIQ.
2013;40;40040;400400437;HTAL. CAROLINA TOBAR GARCIA
2013;40;40040;400400438;HTAL. ENRIQUE TORNU
