EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;DEVENGADO
2013;010010010;11;120;11;RETRIBUCION DEL CARGO;274489487.9
2013;010010010;11;120;11;SUELDO ANUAL COMPLEMENTARIO;23739333.22
2013;010010010;11;120;11;CONTRIBUCIONES PATRONALES;62021092.92
2013;010010010;11;120;11;RETRIBUCION DEL CARGO;212200410.3
2013;010010010;11;120;11;SUELDO ANUAL COMPLEMENTARIO;18173508.3
2013;010010010;11;120;11;CONTRIBUCIONES PATRONALES;45409412.16
2013;010010010;11;120;11;PERSONAL PERMANENTE;6771865.3
2013;010010010;11;131;11;ALIMENTOS PARA PERSONAS;957783.82
2013;010010010;11;131;11;MADERA, CORCHO Y SUS MANUFACTURAS;88012.61
2013;010010010;11;131;11;PRENDAS DE VESTIR;49141.9
2013;010010010;11;131;11;PAPEL Y CARTON PARA OFICINA;7833.7
2013;010010010;11;131;11;PAPEL Y CARTON PARA COMPUTACION;348948.91
2013;010010010;11;131;11;MANUFACTURA DE PULPA, PAPEL Y CARTION;625542.92
2013;010010010;11;131;11;LIBROS, REVISTAS Y PERIODICOS;455108.9
2013;010010010;11;131;11;TINTAS, PINTURAS Y COLORANTES;355337.52
2013;010010010;11;131;11;COMBUSTIBLES Y LUBRICANTES;16624.92
2013;010010010;11;131;11;PRODUCTOS DE MATERIAL PLASTICO;133528.36
2013;010010010;11;131;11;PRODUCTOS DE VIDRIO;32215.7
2013;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;0
2013;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;167732.93
2013;010010010;11;131;11;PETROLEO CRUDO Y GAS NATURAL;3838.39
2013;010010010;11;131;11;PIEDRA, ARCILLA Y ARENA;0
2013;010010010;11;131;11;ELEMENTOS DE LIMPIEZA;227481.58
2013;010010010;11;131;11;UTILES DE ESCRITORIO, OFICINA Y ENSEÑANZA;2063341.49
2013;010010010;11;131;11;UTILES Y MATERIALES ELECTRICOS;268144.39
2013;010010010;11;131;11;REPUESTOS Y ACCESORIOS;98599.51
2013;010010010;11;131;11;HERRAMIENTAS MENORES;15351.96
2013;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;1140152.44
2013;010010010;11;132;11;ENERGIA ELECTRICA;1558491.89
2013;010010010;11;132;11;AGUA;56119.54
2013;010010010;11;132;11;GAS;33284.59
2013;010010010;11;132;11;TELEFONOS, TELEX Y TELEFAX;857313.71
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;0
2013;010010010;11;132;11;ALQUILER DE EDIFICIOS Y LOCALES;1866793.14
2013;010010010;11;132;11;ALQUILER DE MAQUINARIA, EQUIPO Y MEDIOS DE TRANSPORTE;0
2013;010010010;11;132;11;ALQUILER DE FOTOCOPIADORAS;2523657.38
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;631306.87
2013;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE EDIFICIOS Y LOCALES;3762055.3
2013;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE VEHICULOS;20459.94
2013;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;1188458.68
2013;010010010;11;132;11;LIMPIEZA, ASEO Y FUMIGACION;25485612.44
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2003455.39
2013;010010010;11;132;11;DE CAPACITACION;823946.3
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;41109551.73
2013;010010010;11;132;11;TRANSPORTE Y ALMACENAMIENTO;97885.72
2013;010010010;11;132;11;SERVICIOS ESPECIALIZADOS;3056936.32
2013;010010010;11;132;11;PRIMAS Y GASTOS DE SEGUROS;177178.1
2013;010010010;11;132;11;COMISIONES Y GASTOS BANCARIOS;12.1
2013;010010010;11;132;11;SISTEMAS INFORMATICOS Y DE REGISTRO;873304.92
2013;010010010;11;132;11;SERVICIO DE VIGILANCIA;1741083.2
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;145576.67
2013;010010010;11;132;11;PUBLICIDAD Y PROPAGANDA;38262976.78
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;696.91
2013;010010010;11;132;11;PASAJES;2004097.48
2013;010010010;11;132;11;VIATICOS;348013.98
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;220751.79
2013;010010010;11;132;11;DERECHOS Y TASAS;364896.1
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;731873.62
2013;010010010;11;132;11;SERVICIOS DE CEREMONIAL;1065568.53
2013;010010010;11;132;11;PREMIOS Y RECONOCIMIENTOS;460305
2013;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;124980222
2013;010010010;11;211;11;EDIFICIOS E INSTALACIONES PARA EL DOMINIO PRIVADO DE LA CABA;18017325.35
2013;010010010;11;214;11;EQUIPO DE COMUNICACION Y SEÑALAMIENTO;112678
2013;010010010;11;214;11;EQUIPO EDUCACIONAL, CULTURAL Y RECREATIVO;27172.1
2013;010010010;11;214;11;EQUIPO PARA COMPUTACION;7416392.8
2013;010010010;11;214;11;EQUIPO DE OFICINA Y MOBLAJE;1960824.72
2013;010010010;11;214;11;HERRAMIENTAS Y REPUESTOS MAYORES;64367.09
2013;010010010;11;214;11;EQUIPOS VARIOS;52092.69
2013;010010010;11;214;11;EQUIPO DE SEGURIDAD;333625
2013;010010010;11;214;11;LIBROS, REVISTAS Y OTROS ELEMENTOS DE COLECCION;79245.6
2013;010010010;11;219;11;PROGRAMAS DE COMPUTACION;10667133.23
2013;010010010;11;171;11;TRANSFERENCIAS A EMPRESAS PRIVADAS;9792200
2013;010010010;11;172;11;TRANSFERENCIAS A UNIVERSIDADES  PARA FINANCIAR GASTOS CORRIENTES;11138225
2013;010010010;11;172;11;TRANSFERENCIAS A OTRAS INSTITUCIONES PUBLICAS MUNICIPALES;3300000
2013;010010010;11;212;11;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;6956833
2013;010010010;11;212;11;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;9359548.82
2013;010010010;11;224;11;PROGRAMAS DE COMPUTACION;1500000
2013;050050070;12;120;11;RETRIBUCION DEL CARGO;60443485.3
2013;050050070;12;120;11;SUELDO ANUAL COMPLEMENTARIO;5179070.17
2013;050050070;12;120;11;CONTRIBUCIONES PATRONALES;15067558.03
2013;050050070;12;120;11;COMPLEMENTOS;1845045.58
2013;050050070;12;120;11;RETRIBUCION DEL CARGO;1031071.95
2013;050050070;12;120;11;SUELDO ANUAL COMPLEMENTARIO;77526.1
2013;050050070;12;120;11;CONTRIBUCIONES PATRONALES;254977.4
2013;050050070;12;120;11;COMPLEMENTOS;43995
2013;050050070;12;120;11;PERSONAL PERMANENTE;1057280.24
2013;050050070;12;131;11;ALIMENTOS PARA PERSONAS;50168.96
2013;050050070;12;131;11;PRENDAS DE VESTIR;0
