ejercicio;jurisdiccion;servicio;unidad_ejecutora;descripcion
2014;01;01001;010010010;SECRETARIA ADMINISTRATIVA
2014;01;01001;;LEGISLATURA CABA
2014;01;;;LEGISLATURA DE LA CIUDAD DE BUENOS AIRES
2014;05;05005;050050070;MINISTERIO PUBLICO
2014;05;05005;;MINISTERIO PUBLICO
2014;05;;;MINISTERIO PUBLICO
2014;20;20220;202200119;DIR.GRAL.DE CONTENIDOS
2014;20;20220;202200102;SEC. GRAL.
2014;20;20220;202200936;D.GRAL.DE CULTOS
2014;20;20220;202202021;DIR.GRAL.PROT Y CEREM
2014;20;20220;202202020;SUSEC.REL.INTER E INST
2014;20;20220;202202022;DIR.GRAL.REL.INTER COOP
2014;20;20220;202202025;SUBSEC. CONTENIDOS
2014;20;20220;202202026;DIR.GRAL.PLANIF.COMUNIC
2014;20;20220;202202027;UPE OP.PUBL.Y COMUN.
2014;20;20220;;SECRETARIA GENERAL
2014;20;20020;200200100;JEFE DE GOBIERNO
2014;20;20020;200200168;U.DE COORD.PLAN ESTRATEGICO
2014;20;20020;;JEFATURA DE GOBIERNO
2014;20;20218;202180110;VICE JEFE DE GOBIERNO
2014;20;20218;202180121;SEC.DESARR.CIUDADANO
2014;20;20218;202182005;DIR. GRAL POL. JUV
2014;20;20218;202182006;DIR.DESARR.SALUDABLE
2014;20;20218;;VICEJEFATURA DE GOB.
2014;20;20230;202300106;SEC.DE COMUN SOCIAL
2014;20;20230;;SECR.COMUNIC.SOCIAL
2014;20;20240;202400101;SEC. LEGAL Y TECNICA
2014;20;20240;202400118;DIR. GRAL. ESCCRIBANIA GRAL.
2014;20;20240;202400146;DIR.GRAL.MESA DE ESYA
2014;20;20240;;SECR.LEGAL Y TEC.
2014;20;20254;202540214;SECRETARIA DE MEDIOS
2014;20;20254;202540215;DIR. GRAL. NUEVOS MEDIOS
2014;20;20254;202542500;LS1 Radio Cd y FM
2014;20;20254;202540216;DIR. GRAL. COORD. PRENSA
2014;20;20254;202542501;Señal Cable Cd.Ab.
2014;20;20254;;SECRETARIA DE MEDIOS
2014;20;20210;202100112;CONS.DER.NIÑAS/OS, ADOLESC.
2014;20;20210;;CONS.N.N.ADOLES
2014;20;20215;202150113;ENTE REGULADOR SERV. PUB
2014;20;20215;;ENTE REG SERV PUBLIC
2014;20;;;JEFATURA DE GOBIERNO
2014;40;40040;400400418;HTAL. JUAN A. FERNANDEZ
2014;40;40040;400400421;HTAL. PEDRO LAGLEYZE
2014;40;40040;400400427;HTAL. IGNACIO PIROVANO
