ejercicio;programa;subprograma;proyecto;descripcion
2014;016;01600;0160000;FORMACION Y SANCION DE LEYES
2014;016;01600;0160003;MONUMENTO GENERAL PERON
2014;016;01600;0160002;REPARACION Y PUESTA EN VALOR EDIFICIO DE LA LEGISLATURA DE LA CIUDAD DE BUENOS AIRES
2014;016;01600;0160001;OBRAS EN CONSEJO DE LA MAGISTRATURA
2014;016;01600;0160060;ACUMAR
2014;016;01600;;FORMACION Y SANCION DE LEYES
2014;016;01601;0160100;CENTRO DE FORMACION JUDICIAL
2014;016;01601;;CENTRO DE FORMACION JUDICIAL
2014;016;01602;0160200;PLANIFICACION Y GESTION DE POLITICA JUDICIAL
2014;016;01602;;PLANIFICACION Y GESTION DE POLITICA JUDICIAL
2014;016;;;FORMACION Y SANCION DE LEYES
2014;017;01700;0170000;REGIS.PUBL.DE BASES DE DATOS PERS.LEY 1845
2014;017;01700;0170002;REPARACION EDILICIA IMPRENTA
2014;017;01700;0170001;ADQUISICION Y PUESTA EN FUNCIONAMIENTO DE EXPEDIENTES
2014;017;01700;;REGIS.PUBL.DE BASES DE DATOS PERS.LEY 1845
2014;017;;;REGIS.PUBL.DE BASES DE DATOS PERS.LEY 1845
2014;010;01000;0100000;ASESORIA GENERAL TUTELAR
2014;010;01000;0100001;PUESTA EN VALOR DE PLAYAS DEL PARQUE ROCA Y DEL PARQUE DE LOS NIÑOS
2014;010;01000;0100002;CAPACITACION
2014;010;01000;0100093;SERVICIOS DE MANTENIMIENTO - COMUNA 10
2014;010;01000;;ASESORIA GENERAL TUTELAR
2014;010;;;ASESORIA GENERAL TUTELAR
2014;020;02000;0200000;MINISTERIO PUBLICO DE LA  DEFENSA
2014;020;02000;0200001;READECUACION SEDES MINISTERIO PUBLICO DE LA DEFENSA
2014;020;02000;;MINISTERIO PUBLICO DE LA  DEFENSA
2014;020;;;MINISTERIO PUBLICO DE LA  DEFENSA
2014;030;03001;0300100;ACCESO A LA JUSTICIA
2014;030;03001;;ACCESO A LA JUSTICIA
2014;030;03002;0300200;INV. Y RES. PENAL, CONTR. Y FALTAS
2014;030;03002;;INV. Y RES. PENAL, CONTR. Y FALTAS
2014;030;03003;0300300;DEFENSA DE LA LEGALIDAD
2014;030;03003;;DEFENSA DE LA LEGALIDAD
2014;030;03000;0300000;MINISTERIO PUBLICO FISCAL
2014;030;03000;;MINISTERIO PUBLICO FISCAL
2014;030;;;MINISTERIO PUBLICO FISCAL
2014;040;04000;0400000;COMISION CONJUNTA DE ADMINISTRACION MINISTERIO PUBLICO
2014;040;04000;0400074;ADECUACION MEJORES Y MANTENIMIENTO DE INFRAESTRUCTURA
2014;040;04000;0400075;PUESTA EN VALOR, REFACCION, REMODELACION Y/O RECICLAJE DE LA INFRAESTRUCTURA EDILICIA
2014;040;04000;0400081;CENOTAFIO CEMENTERIO CHACARITA - LEY 2400
2014;040;04000;;COMISION CONJUNTA DE ADMINISTRACION MINISTERIO PUBLICO
2014;040;;;COMISION CONJUNTA DE ADMINISTRACION MINISTERIO PUBLICO
2014;001;00100;0010000;ACTIVIDADES CENTRALES
2014;001;00100;0010001;OBRAS EN EDIFICIO TRIBUNAL SUPERIOR DE JUSTICIA
2014;001;00100;0010002;PLAN DE EQUIPAMIENTO HOSPITALARIO
2014;001;00100;0010084;SERVICIOS DE MANTENIMIENTO - COMUNA 1
2014;001;00100;0010060;ACUMAR - PROSUR
2014;001;00100;;ACTIVIDADES CENTRALES
2014;001;;;ACTIVIDADES CENTRALES
2014;002;00200;0020000;TUTELA JUDICIAL
2014;002;00200;0020004;CONSTRUCCION DE PARADORES
2014;002;00200;0020001;CONSTRUCICON HOGARES Y PARADORES
2014;002;00200;0020003;MEJORAS EDILICIAS
2014;002;00200;0020085;SERVICIOS DE MANTENIMIENTO - COMUNA 2
2014;002;00200;;TUTELA JUDICIAL
2014;002;;;TUTELA JUDICIAL
2014;018;01800;0180000;JUSTICIA PENAL, CONTRAVENCIONAL Y DE FALTAS
2014;018;01800;0180002;CONSTRUCCION INTEGRAL Y PUESTA EN SERVICIO LINEA H DE SUBTERRANEOS
2014;018;01800;0180001;NODO OBELISCO
2014;018;01800;;JUSTICIA PENAL, CONTRAVENCIONAL Y DE FALTAS
2014;018;;;JUSTICIA PENAL, CONTRAVENCIONAL Y DE FALTAS
2014;019;01900;0190000;METODOS ALTERNATIVOS DE RESOLUCION DE CONFLICTOS Y JUSTICIA VECINAL
2014;019;01900;0190060;PUESTA EN VALOR EN VILLAS Y COMPLEJOS HABITACIONALES DENTRO DE LA JURISDICCION ACUMAR
2014;019;01900;;METODOS ALTERNATIVOS DE RESOLUCION DE CONFLICTOS Y JUSTICIA VECINAL
2014;019;;;METODOS ALTERNATIVOS DE RESOLUCION DE CONFLICTOS Y JUSTICIA VECINAL
2014;011;01100;0110000;ASUNTOS PATRIMONIALES Y FISCALES
2014;011;01100;0110001;CENTROS VERDES
2014;011;01100;0110002;REACONDICIONAMIENTO OFICINAS DE BIENES EN DESUSO
2014;011;01100;0110094;SERVICIOS DE MANTENIMIENTO - COMUNA 11
2014;011;01100;0110060;A.CU.MAR - CENTROS VERDES
