EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;SANCIONADO
2014;010010010;11;219;11;PROGRAMAS DE COMPUTACION;1890000
2014;010010010;11;172;11;TRANSFERENCIAS A UNIVERSIDADES  PARA FINANCIAR GASTOS CORRIENTES;4000000
2014;010010010;11;132;11;SERVICIO DE VIGILANCIA;1565005
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;6662625
2014;010010010;11;132;11;PUBLICIDAD Y PROPAGANDA;9390490
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2784150
2014;010010010;11;132;11;PASAJES;1173813
2014;010010010;11;132;11;VIATICOS;391272
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;859455
2014;010010010;11;132;11;DERECHOS Y TASAS;54779
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;107127
2014;010010010;11;132;11;SERVICIOS DE CEREMONIAL;860700
2014;010010010;11;132;11;PREMIOS Y RECONOCIMIENTOS;377120
2014;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;113403400
2014;010010010;11;214;11;EQUIPO DE COMUNICACION Y SEÑALAMIENTO;643800
2014;010010010;11;214;11;EQUIPO EDUCACIONAL, CULTURAL Y RECREATIVO;426900
2014;010010010;11;214;11;EQUIPO PARA COMPUTACION;4101600
2014;010010010;11;214;11;EQUIPO DE OFICINA Y MOBLAJE;1068000
2014;010010010;11;214;11;HERRAMIENTAS Y REPUESTOS MAYORES;351200
2014;010010010;11;214;11;EQUIPOS VARIOS;11340000
2014;010010010;11;214;11;EQUIPO DE SEGURIDAD;94500
2014;010010010;11;214;11;LIBROS, REVISTAS Y OTROS ELEMENTOS DE COLECCION;284000
2014;010010010;11;131;11;TINTAS, PINTURAS Y COLORANTES;1989848
2014;010010010;11;131;11;COMBUSTIBLES Y LUBRICANTES;1962002
2014;010010010;11;131;11;PRODUCTOS DE MATERIAL PLASTICO;1968250
2014;010010010;11;131;11;PRODUCTOS DE VIDRIO;955539
2014;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;961744
2014;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2978138
