EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;SANCIONADO
2014;;;111;;Impuestos Directos;7209276500
2014;;;112;;Impuestos Indirectos;41887092500
2014;;;113;;Impuestos Nacionales;5302000000
2014;;;130;;Ingresos No Tributarios;1924370300
2014;;;140;;Venta de Bienes y Servicios;360556300
2014;;;160;;Rentas de la Propiedad;180000000
2014;;;170;;Transferencias Corrientes;577329800
2014;;;210;;Recursos Propios de Capital;562000000
2014;;;220;;Transferencias de Capital ;537566900
2014;;;230;;Disminución de la Inversión Financiera;100035000
