ejercicio;jurisdiccion;servicio;unidad_ejecutora;descripcion
2016;01;01001;010010010;SECRETARIA ADMINISTRATIVA
2016;01;01001;;LEGISLATURA DE LA CIUDAD DE BUENOS AIRES
2016;01;;;LEGISLATURA DE LA CIUDAD DE BUENOS AIRES
2016;05;05005;050050070;MINISTERIO PUBLICO
2016;05;05005;;MINISTERIO PUBLICO
2016;05;;;MINISTERIO PUBLICO
2016;06;06006;060060050;TRIBUNAL SUPERIOR
2016;06;06006;;TRIBUNAL SUPERIOR DE JUSTICIA
2016;06;;;TRIBUNAL SUPERIOR DE JUSTICIA
2016;07;07007;070070051;CONSEJO DE LA MAGISTRATURA
2016;07;07007;;CONSEJO DE LA MAGISTRATURA
2016;07;;;CONSEJO DE LA MAGISTRATURA
2016;09;09009;090090730;PROCURACION GENERAL DE LA CIUDAD
2016;09;09009;;PROCURACION GENERAL  DE LA CIUDAD
2016;09;;;PROCURACION GENERAL  DE LA CIUDAD
2016;20;20020;200200100;JEFE DE GOBIERNO
2016;20;20020;200202025;SUBSECRETARIA DE CONTENIDOS
2016;20;20020;200202026;DIRECCION GENERAL DE PLANIFICACION COMUNICACIONAL
2016;20;20020;200209600;DIR.GRAL.CONTENIDOS Y MARCAS
2016;20;20020;200209949;DIRECCION GENERAL DE OPINION PUBLICA
2016;20;20020;200209951;DIRECCION GENERAL COMUNICACION DIRECTA
2016;20;20020;200209952;DIRECCION GENERAL COMUNICACION PARTICIPATIVA
2016;20;20020;200209953;DIRECCION GENERAL PRODUCCION GENERAL
2016;20;20020;200209954;DIRECCION GENERAL EVENTOS DE GOBIERNO
2016;20;20020;200209955;DIRECCION GENERAL COMUNICACION DIGITAL
2016;20;20020;200209984;SUBSECRETARIA DE COMUNICACION
2016;20;20020;;JEFATURA DE GOBIERNO
2016;20;20218;202180325;UPE JUEGOS OLIMPICOS DE LA JUVENTUD BS AS 2018
2016;20;20218;202182005;DIRECCION GENERAL POLITICAS DE JUVENTUD
2016;20;20218;202182007;SECRETARIA DE DESARROLLO CIUDADANO
2016;20;20218;202182010;SUBS.DERECHOS HUMANOS Y PLURALISMO CULTURAL
2016;20;20218;202182013;CONSEJO DE GESTION DEL PARQUE DE LA MEMORIA
2016;20;20218;202188106;SUBSECRETARIA DE DEPORTES
2016;20;20218;202188801;DIRECCION GENERAL DE DESARROLLO SALUDABLE
2016;20;20218;202189000;SUBSEC.  DE BIENESTAR CIUDADANO
2016;20;20218;202189611;VICEJEFATURA DE GOBIERNO
2016;20;20218;202189946;DIRECCION GENERAL CONVIVENCIA EN LA DIVERSIDAD
2016;20;20218;202189947;DIRECCION GENERAL DE COLECTIVIDADES
2016;20;20218;202189948;CONSEJO ASESOR EN POLITICAS PUBLICAS DE MEMORIA
2016;20;20218;202189987;DIRECCION GENERAL DESARROLLO GASTRONOMICO
2016;20;20218;202189988;DIR. GRAL. PROMOCION DE POLITICAS DE BIENESTAR CIUDADANO
2016;20;20218;202189989;DIRECCION GENERAL DEPORTE SOCIAL Y DESARROLLO DEPORTIVO
2016;20;20218;202189990;DIRECCION GENERAL DE INFRAESTRUCTURA DEPORTIVA
2016;20;20218;202189991;DIRECCION GENERAL ADMINISTRACION Y ORGANIZACION DEPORTIVA
2016;20;20218;202189992;DIRECCION GENERAL DE DESARROLLO FAMILIAR
2016;20;20218;;VICEJEFATURA DE GOBIERNO
2016;20;20220;202200168;UNIDAD DE COORDINACION DEL PLAN ESTRATEGICO
2016;20;20220;202200936;DIR.GRAL DE CULTOS
2016;20;20220;202202014;UNIDAD DE GESTION DE CUMPLIMIENTO
2016;20;20220;202202015;SUBSECRETARIA GESTION ESTRATEGICA Y CALIDAD INSTITUCIONAL
2016;20;20220;202202016;DIRECCION GENERAL GESTION ESTRATEGICA
2016;20;20220;202202017;DIRECCION GENERAL CALIDAD INSTITUCIONAL
2016;20;20220;202202021;DIRECCION GENERAL PROTOCOLO Y CEREMONIAL
2016;20;20220;202202022;DIRECCION GENERAL RELACIONES INTERNACIONALES Y COOPERACION
2016;20;20220;202202027;U.P.E OPINION PUBLICA Y COMUNICACION DIRECTA
2016;20;20220;202209602;SUBS.RELACIONES INTERNAC.E INSTITUCIONALES
2016;20;20220;202209750;SEC.GRAL. Y RELACIONES INTERNACIONALES
2016;20;20220;;SEC.GRAL. Y REALACIONES INTERNACIONALES
2016;20;20240;202400101;SECRETARIA LEGAL Y TECNICA
2016;20;20240;202400118;DIRECCION GENERAL DE ESCRIBANIA GENERAL
2016;20;20240;202400146;DIR.GRAL.MESA  DE ENTRADAS, SALIDAS Y ARCHIVO
2016;20;20240;202402018;DIRECCION GENERAL COORDINACION LEGAL
2016;20;20240;202402019;DIRECCION GENERAL COORDINACION Y CONSOLIDACION NORMATIVA
2016;20;20240;202402023;DIRECCION GENERAL GESTION DOCUMENTAL
2016;20;20240;;SECRETARIA LEGAL Y TECNICA
2016;20;20254;202540214;SECRETARIA DE MEDIOS
