ejercicio;programa;subprograma;proyecto;descripcion
2016;016;01600;0160000;FORMACION Y SANCION DE LEYES
2016;016;01600;0160002;REPARACION Y PUESTA EN VALOR EDIFICIO DE LA LEGISLATURA DE LA CIUDAD DE BUENOS AIRES
2016;016;01600;0160001;OBRAS EN CONSEJO DE LA MAGISTRATURA
2016;016;01600;0160060;ACUMAR
2016;016;01600;;FORMACION Y SANCION DE LEYES
2016;016;01602;0160200;PLANIFICACION Y GESTION DE POLITICA JUDICIAL
2016;016;01602;;PLANIFICACION Y GESTION DE POLITICA JUDICIAL
2016;016;;;FORMACION Y SANCION DE LEYES
2016;010;01000;0100000;ASESORIA GENERAL TUTELAR
2016;010;01000;0100002;CAPACITACION
2016;010;01000;0100093;SERVICIOS DE MANTENIMIENTO - COMUNA 10
2016;010;01000;;ASESORIA GENERAL TUTELAR
2016;010;;;ASESORIA GENERAL TUTELAR
2016;020;02000;0200000;MINISTERIO PUBLICO DE LA  DEFENSA
2016;020;02000;0200001;READECUACION SEDES MINISTERIO PUBLICO DE LA DEFENSA
2016;020;02000;;MINISTERIO PUBLICO DE LA  DEFENSA
2016;020;;;MINISTERIO PUBLICO DE LA  DEFENSA
2016;030;03000;0300000;MINISTERIO PUBLICO FISCAL
2016;030;03000;;MINISTERIO PUBLICO FISCAL
2016;030;03001;0300100;ACCESO A LA JUSTICIA
2016;030;03001;;ACCESO A LA JUSTICIA
2016;030;03002;0300200;INV.Y RES.PENAL, CONTR.Y FALTAS
2016;030;03002;;INV.Y RES.PENAL, CONTR.Y FALTAS
2016;030;03003;0300300;DEFENSA DE LA LEGALIDAD
2016;030;03003;;DEFENSA DE LA LEGALIDAD
2016;030;;;MINISTERIO PUBLICO FISCAL
2016;040;04000;0400000;COMISION CONJUNTA DE ADMINISTRACION MINISTERIO PUBLICO
2016;040;04000;;COMISION CONJUNTA DE ADMINISTRACION MINISTERIO PUBLICO
2016;040;;;COMISION CONJUNTA DE ADMINISTRACION MINISTERIO PUBLICO
2016;001;00100;0010000;ACTIVIDADES CENTRALES
2016;001;00100;0010001;OBRAS EN EDIFICIO TRIBUNAL SUPERIOR DE JUSTICIA
2016;001;00100;0010084;SERVICIOS DE MANTENIMIENTO - COMUNA 1
2016;001;00100;;ACTIVIDADES CENTRALES
2016;001;;;ACTIVIDADES CENTRALES
2016;002;00200;0020000;TUTELA JUDICIAL
2016;002;00200;0020001;CONSTRUCICON HOGARES Y PARADORES
2016;002;00200;0020002;CONSTRUCCION DE PARADORES
2016;002;00200;0020003;CONSTRUCCIONES VARIAS
2016;002;00200;0020085;SERVICIOS DE MANTENIMIENTO - COMUNA 2
2016;002;00200;;TUTELA JUDICIAL
2016;002;;;TUTELA JUDICIAL
2016;003;00300;0030000;PROCESO ELECTORAL
2016;003;00300;0030001;CONSTRUCCIONES EN CENTROS ASISTENCIALES
2016;003;00300;0030002;CONSTRUCCIONES EN CENTROS ASISTENCIALES
2016;003;00300;0030003;REFACCIONES EN CENTRO DE LA MUJER
2016;003;00300;0030086;SERVICIOS DE MANTENIMIENTO - COMUNA 3
2016;003;00300;0030051;AMPLIACION, REM. Y PTA. EN VALOR DE EDIFICIOS AGIP
2016;003;00300;;PROCESO ELECTORAL
2016;003;;;PROCESO ELECTORAL
2016;004;00400;0040000;CENTRO DE FORMACION JUDICIAL
2016;004;00400;0040062;EQUIPAMIENTO ELECTRONICO DEL CENTRO UNICO DE COMANDO Y CONTROL
2016;004;00400;0040001;CONSTRUCCIONES EN HOGARES DE ANCIANOS
2016;004;00400;0040087;SERVICIOS DE MANTENIMIENTO - COMUNA 4
2016;004;00400;;CENTRO DE FORMACION JUDICIAL
2016;004;;;CENTRO DE FORMACION JUDICIAL
2016;017;01700;0170000;JUSTICIA CONTENCIOSA, ADMINISTRATIVA Y TRIBUTARIA
2016;017;01700;0170001;ADQUISICION Y PUESTA EN FUNCIONAMIENTO DE EXPEDIENTES
2016;017;01700;;JUSTICIA CONTENCIOSA, ADMINISTRATIVA Y TRIBUTARIA
2016;017;;;JUSTICIA CONTENCIOSA, ADMINISTRATIVA Y TRIBUTARIA
2016;018;01800;0180000;JUSTICIA PENAL, CONTRAVENCIONAL Y DE FALTAS
2016;018;01800;0180001;NODO OBELISCO
2016;018;01800;0180002;CONSTRUCCION INTEGRAL Y PUESTA EN SERVICIO LINEA H DE SUBTERRANEOS
2016;018;01800;;JUSTICIA PENAL, CONTRAVENCIONAL Y DE FALTAS
2016;018;;;JUSTICIA PENAL, CONTRAVENCIONAL Y DE FALTAS
2016;019;01900;0190000;METODOS ALTERNATIVOS DE RESOLUCION DE CONFLICTOS Y JUSTICIA VECINAL
2016;019;01900;;METODOS ALTERNATIVOS DE RESOLUCION DE CONFLICTOS Y JUSTICIA VECINAL
2016;019;;;METODOS ALTERNATIVOS DE RESOLUCION DE CONFLICTOS Y JUSTICIA VECINAL
2016;011;01100;0110000;ASUNTOS PATRIMONIALES Y FISCALES
2016;011;01100;0110001;FORTALECIMIENTO SISTEMA DE COMPRAS
2016;011;01100;0110094;SERVICIOS DE MANTENIMIENTO - COMUNA 11
2016;011;01100;;ASUNTOS PATRIMONIALES Y FISCALES
2016;011;;;ASUNTOS PATRIMONIALES Y FISCALES
2016;012;01200;0120000;ASUNTOS INSTITUCIONALES Y EMPLEO PUBLICO
2016;012;01200;0120001;CONSTRUCCION, AMPLIACION Y MODERNIZACION DE LA RED DE SUBTERRANEOS
2016;012;01200;0120061;PLAN SARMIENTO
2016;012;01200;0120095;SERVICIOS DE MANTENIMIENTO - COMUNA 12
2016;012;01200;;ASUNTOS INSTITUCIONALES Y EMPLEO PUBLICO
2016;012;;;ASUNTOS INSTITUCIONALES Y EMPLEO PUBLICO
2016;006;00600;0060000;ACTIVIDADES COMUNES A LOS PROGRAMAS 19,30
2016;006;00600;0060089;SERVICIOS DE MANTENIMIENTO - COMUNA 6
2016;006;00600;;ACTIVIDADES COMUNES A LOS PROGRAMAS 19,30
2016;006;;;ACTIVIDADES COMUNES A LOS PROGRAMAS 19,30
2016;022;02200;0220000;OPINION PUBLICA
2016;022;02200;0220001;OBRAS INFRAESTRUCTURA EN BARRIOS 31 Y 31 BIS
2016;022;02200;0220002;PLAN DE EQUIPAMIENTO HOSPITALARIO
2016;022;02200;0220003;INFRAESTRUCTURA DE COMUNICACIONES
2016;022;02200;0220008;INTERVENCIONES INTERREGIONALES
2016;022;02200;0220009;LEY 3011 - LIGA ISRAELITA
2016;022;02200;0220010;OBRAS EN EDIFICIOS ADMINISTRATIVOS MINISTERIO DE SALUD
2016;022;02200;0220011;OBRAS EN EFECTORES REGION SANITARIA I
2016;022;02200;0220012;OBRAS EN EFECTORES REGION SANITARIA II
2016;022;02200;0220013;OBRAS EN EFECTORES REGION SANITARIA III
2016;022;02200;0220014;OBRAS EN EFECTORES REGION SANITARIA IV
2016;022;02200;0220015;OBRAS EN EFECTORES DE SALUD MENTAL
2016;022;02200;0220016;OBRAS DE INFRAESTRUCTURA Y/O SEGURIDAD EN EFECTORES
2016;022;02200;0220017;OBRAS EN CENTROS DE SALUD Y ACCION COMUNITARIA
2016;022;02200;0220060;ACUMAR
2016;022;02200;0220065;PUESTA EN VALOR CENTROS DE SALUD DE ACCION COMUNITARIA
2016;022;02200;;OPINION PUBLICA
2016;022;;;OPINION PUBLICA
2016;024;02400;0240000;COMUNICACION DIRECTA
2016;024;02400;0240001;OBRAS DE INGENIERIA MECANICA PARQUE ROCA.
2016;024;02400;0240002;PROGRAMA PROSUR HABITAT
2016;024;02400;0240060;ACUMAR - PROSUR
2016;024;02400;;COMUNICACION DIRECTA
2016;024;;;COMUNICACION DIRECTA
2016;025;02500;0250000;COMUNICACION PARTICIPATIVA
2016;025;02500;0250001;REVITALIZACION Y MEJORAMIENTO DEL ESP. PUBLICO
2016;025;02500;0250002;PRIORIDAD PEATON
2016;025;02500;0250003;OBRAS COMPLEMENTARIAS
2016;025;02500;0250005;EXPANSION DE ESPACIOS VERDES EN TODA LA CIUDAD GRANDES PARQUES URBANOS
2016;025;02500;0250060;A.CU.MA.R. - OBRAS COMPLEMENTARIAS DE ARQUITECTURA
2016;025;02500;;COMUNICACION PARTICIPATIVA
2016;025;;;COMUNICACION PARTICIPATIVA
2016;026;02600;0260000;PRODUCCION GENERAL
2016;026;02600;;PRODUCCION GENERAL
2016;026;;;PRODUCCION GENERAL
2016;027;02700;0270000;EVENTOS DE GOBIERNO
2016;027;02700;;EVENTOS DE GOBIERNO
2016;027;;;EVENTOS DE GOBIERNO
2016;023;02300;0230000;COMUNICACION DIGITAL
2016;023;02300;;COMUNICACION DIGITAL
2016;023;;;COMUNICACION DIGITAL
2016;007;00700;0070000;ACTIVIDADES COMUNES A LOS PROGRAMAS DE LA SUBSECRETARIA DE COMUNICACION
2016;007;00700;0070001;ADQUISICION Y MEJORAMIENTO DE LOS ESPACIOS FISICOS
2016;007;00700;0070090;SERVICIOS DE MANTENIMIENTO - COMUNA 7
2016;007;00700;0070003;SEGURIDAD INFORMATICA
2016;007;00700;0070002;READECUACION DE ESPACIOS - OBRAS MENORES
2016;007;00700;;ACTIVIDADES COMUNES A LOS PROGRAMAS DE LA SUBSECRETARIA DE COMUNICACION
2016;007;;;ACTIVIDADES COMUNES A LOS PROGRAMAS DE LA SUBSECRETARIA DE COMUNICACION
2016;013;01300;0130000;ORGANIZACION DE LOS JUEGOS OLIMPICOS DE LA JUVENTUD BUENOS AIRES 2018
2016;013;01300;0130069;REPARACION Y MEJORAS EN BARRIOS DE BUENOS AIRES
2016;013;01300;0130001;RECURSOS PEDAGOGICOS Y TECNOLOGICOS
2016;013;01300;0130096;SERVICIOS DE MANTENIMIENTO - COMUNA 13
2016;013;01300;;ORGANIZACION DE LOS JUEGOS OLIMPICOS DE LA JUVENTUD BUENOS AIRES 2018
2016;013;;;ORGANIZACION DE LOS JUEGOS OLIMPICOS DE LA JUVENTUD BUENOS AIRES 2018
2016;045;04500;0450000;DISEÑO, COORDINACION Y MONITOREO DE POLITICAS DE JUVENTUD
2016;045;04500;0450065;PUESTA EN VALOR INSTITUTO PASTEUR
2016;045;04500;;DISEÑO, COORDINACION Y MONITOREO DE POLITICAS DE JUVENTUD
2016;045;;;DISEÑO, COORDINACION Y MONITOREO DE POLITICAS DE JUVENTUD
2016;008;00800;0080000;ACT.COM.24,25,26,27,29,30,32
2016;008;00800;0080001;REMODELACION COMPLEJO TEATRAL BUENOS AIRES
2016;008;00800;0080091;SERVICIOS DE MANTENIMIENTO - COMUNA 8
2016;008;00800;;ACT.COM.24,25,26,27,29,30,32
2016;008;;;ACT.COM.24,25,26,27,29,30,32
2016;029;02900;0290000;ATENCION, CONTENCION Y ASESORAMIENTO
2016;029;02900;0290001;FORTALECIMIENTO DEL SISTEMA DE ADMINISTRACION FINANCIERA
2016;029;02900;0290002;DESARROLLO DEL SISTEMA DE DECISION E INFORMACION GERENCIAL
2016;029;02900;;ATENCION, CONTENCION Y ASESORAMIENTO
2016;029;;;ATENCION, CONTENCION Y ASESORAMIENTO
2016;032;03200;0320000;FORTALECIMIENTO DE LA DIVERSIDAD CULTURAL
2016;032;03200;;FORTALECIMIENTO DE LA DIVERSIDAD CULTURAL
2016;032;;;FORTALECIMIENTO DE LA DIVERSIDAD CULTURAL
2016;005;00500;0050000;ACTIVIDADES COMUNES A LOS PROGRAMAS 81, 82, 83 Y 84
2016;005;00500;0050001;RECUPERACION Y PUESTA EN VALOR DE LAS INSTALACIONES DEPORTIVA
2016;005;00500;0050088;SERVICIOS DE MANTENIMIENTO - COMUNA 5
2016;005;00500;;ACTIVIDADES COMUNES A LOS PROGRAMAS 81, 82, 83 Y 84
2016;005;;;ACTIVIDADES COMUNES A LOS PROGRAMAS 81, 82, 83 Y 84
2016;081;08100;0810000;COLONIAS DEPORTIVAS Y RECREATIVAS
2016;081;08100;0810001;OBRAS REGENERACION URBANA
2016;081;08100;0810002;ENTORNOS URBANOS
2016;081;08100;0810003;AREAS AMBIENTALES
2016;081;08100;0810004;PROGRAMA ARTE EN LA CIUDAD
2016;081;08100;;COLONIAS DEPORTIVAS Y RECREATIVAS
2016;081;08112;0811200;HOSPITAL GENERAL DE AGUDOS COSME ARGERICH
2016;081;08112;0811265;PUESTA EN VALOR HOSPITAL COSME ARGERICH
2016;081;08112;;HOSPITAL GENERAL DE AGUDOS COSME ARGERICH
2016;081;08117;0811700;HOSPITAL GENERAL DE NIÑOS PEDRO ELIZALDE
2016;081;08117;0811765;PUESTA EN VALOR HOSPITAL PEDRO DE ELIZALDE
2016;081;08117;;HOSPITAL GENERAL DE NIÑOS PEDRO ELIZALDE
2016;081;08119;0811900;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER
2016;081;08119;0811965;PUESTA EN VALOR  HOSPITAL MARIA FERRER
2016;081;08119;;HOSPITAL DE REHABILITACION RESPIRATORIA MARIA FERRER
2016;081;08123;0812300;HOSPITAL DE ENFERMEDADES INFECTOCANTAGIOSAS FRANCISCO J. MUÑIZ
2016;081;08123;0812365;PUESTA EN VALOR HOSPITAL FRANCISCO J. MUÑIZ
