EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;SANCIONADO
2016;;;111;;Impuestos Directos;13908000000
2016;;;112;;Impuestos Indirectos;79824050000
2016;;;113;;Impuestos Nacionales;10022364100
2016;;;130;;Ingresos No Tributarios;3849319291
2016;;;140;;Venta de Bienes y Servicios;541831711
2016;;;160;;Rentas de la Propiedad;845000000
2016;;;170;;Transferencias Corrientes;1029483847
2016;;;210;;Recursos Propios de Capital;174306385
2016;;;220;;Transferencias de Capital ;769500000
2016;;;230;;Disminución de la Inversión Financiera;60420000
