EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;SANCIONADO
2015;010010010;11;212;11;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;13138018
2015;010010010;11;212;11;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;5638049
2015;010010010;11;172;11;TRANSFERENCIAS A OTRAS INSTITUCIONES PUBLICAS MUNICIPALES;4800000
2015;010010010;11;219;11;PROGRAMAS DE COMPUTACION;2268000
2015;010010010;11;214;11;OTROS BIENES DE USO NO ESPECIFICADOS PRECEDENTEMENTE;12000000
2015;010010010;11;132;11;SERVICIO DE VIGILANCIA;1878006
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;10635150
2015;010010010;11;132;11;PUBLICIDAD Y PROPAGANDA;11268588
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;3340980
2015;010010010;11;132;11;PASAJES;1408576
2015;010010010;11;132;11;VIATICOS;469527
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;1031346
2015;010010010;11;132;11;DERECHOS Y TASAS;65735
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;128552
2015;010010010;11;132;11;SERVICIOS DE CEREMONIAL;1032840
2015;010010010;11;132;11;PREMIOS Y RECONOCIMIENTOS;452544
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;139234080
2015;010010010;11;214;11;EQUIPO DE COMUNICACION Y SEÑALAMIENTO;772560
2015;010010010;11;214;11;EQUIPO EDUCACIONAL, CULTURAL Y RECREATIVO;512280
2015;010010010;11;214;11;EQUIPO PARA COMPUTACION;4921920
2015;010010010;11;214;11;EQUIPO DE OFICINA Y MOBLAJE;5121600
2015;010010010;11;214;11;HERRAMIENTAS Y REPUESTOS MAYORES;421440
2015;010010010;11;214;11;EQUIPOS VARIOS;13608000
2015;010010010;11;214;11;EQUIPO DE SEGURIDAD;113400
2015;010010010;11;214;11;LIBROS, REVISTAS Y OTROS ELEMENTOS DE COLECCION;340800
2015;010010010;11;131;11;TINTAS, PINTURAS Y COLORANTES;2387818
2015;010010010;11;131;11;COMBUSTIBLES Y LUBRICANTES;2354402
2015;010010010;11;131;11;PRODUCTOS DE MATERIAL PLASTICO;2361900
2015;010010010;11;131;11;PRODUCTOS DE VIDRIO;1146647
2015;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;1154093
2015;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;3573766
2015;010010010;11;131;11;PETROLEO CRUDO Y GAS NATURAL;1143349
2015;010010010;11;131;11;PIEDRA, ARCILLA Y ARENA;1143102
2015;010010010;11;131;11;ELEMENTOS DE LIMPIEZA;2374118
2015;010010010;11;131;11;UTILES DE ESCRITORIO, OFICINA Y ENSEÑANZA;2387194
2015;010010010;11;131;11;UTILES Y MATERIALES ELECTRICOS;2367832
2015;010010010;11;131;11;REPUESTOS Y ACCESORIOS;2362836
2015;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;79851908
2015;010010010;11;132;11;ENERGIA ELECTRICA;2196384
2015;010010010;11;132;11;AGUA;275904
2015;010010010;11;132;11;GAS;900512
2015;010010010;11;132;11;TELEFONOS, TELEX Y TELEFAX;2889900
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2793690
2015;010010010;11;132;11;ALQUILER DE EDIFICIOS Y LOCALES;1453116
2015;010010010;11;132;11;ALQUILER DE MAQUINARIA, EQUIPO Y MEDIOS DE TRANSPORTE;328680
2015;010010010;11;132;11;ALQUILER DE FOTOCOPIADORAS;2253720
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;5025672
2015;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE EDIFICIOS Y LOCALES;2347632
2015;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE VEHICULOS;1079928
