EJERCICIO;CENTRO GESTOR;FUNCIONAL;ECONOMICA;FINANCIACION;DESCRIPCION;DEVENGADO
2015;010010010;11;212;11;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;4282003.27
2015;010010010;11;212;11;CONSTRUCCIONES EN BIENES DE DOMINIO PRIVADO;578075.36
2015;010010010;11;172;11;TRANSFERENCIAS A OTRAS INSTITUCIONES PUBLICAS MUNICIPALES;0
2015;010010010;11;219;11;PROGRAMAS DE COMPUTACION;4770133.27
2015;010010010;11;214;11;OTROS BIENES DE USO NO ESPECIFICADOS PRECEDENTEMENTE;0
2015;010010010;11;132;11;SERVICIO DE VIGILANCIA;1211228.94
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2346143.84
2015;010010010;11;132;11;PUBLICIDAD Y PROPAGANDA;93713890.41
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;92221
2015;010010010;11;132;11;PASAJES;5577168.17
2015;010010010;11;132;11;VIATICOS;1876769.98
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;176722.8
2015;010010010;11;132;11;DERECHOS Y TASAS;343889.77
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;263516.04
2015;010010010;11;132;11;SERVICIOS DE CEREMONIAL;4232550.92
2015;010010010;11;132;11;PREMIOS Y RECONOCIMIENTOS;811239.65
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;182104656.4
2015;010010010;11;214;11;EQUIPO DE COMUNICACION Y SEÑALAMIENTO;2079932.59
2015;010010010;11;214;11;EQUIPO EDUCACIONAL, CULTURAL Y RECREATIVO;151399
2015;010010010;11;214;11;EQUIPO PARA COMPUTACION;12413779.8
2015;010010010;11;214;11;EQUIPO DE OFICINA Y MOBLAJE;2787063.01
2015;010010010;11;214;11;HERRAMIENTAS Y REPUESTOS MAYORES;1560.9
2015;010010010;11;214;11;EQUIPOS VARIOS;14750
2015;010010010;11;214;11;EQUIPO DE SEGURIDAD;47412.5
2015;010010010;11;214;11;LIBROS, REVISTAS Y OTROS ELEMENTOS DE COLECCION;565194.97
2015;010010010;11;131;11;TINTAS, PINTURAS Y COLORANTES;771205.11
2015;010010010;11;131;11;COMBUSTIBLES Y LUBRICANTES;101895.8
2015;010010010;11;131;11;PRODUCTOS DE MATERIAL PLASTICO;3762
2015;010010010;11;131;11;PRODUCTOS DE VIDRIO;159910
2015;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;0
2015;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;178489.85
2015;010010010;11;131;11;PETROLEO CRUDO Y GAS NATURAL;0
2015;010010010;11;131;11;PIEDRA, ARCILLA Y ARENA;810.9
2015;010010010;11;131;11;ELEMENTOS DE LIMPIEZA;101614.57
2015;010010010;11;131;11;UTILES DE ESCRITORIO, OFICINA Y ENSEÑANZA;880537.41
2015;010010010;11;131;11;UTILES Y MATERIALES ELECTRICOS;903057.28
2015;010010010;11;131;11;REPUESTOS Y ACCESORIOS;102821.45
2015;010010010;11;131;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2005088.04
2015;010010010;11;132;11;ENERGIA ELECTRICA;1500849.16
2015;010010010;11;132;11;AGUA;202852.45
2015;010010010;11;132;11;GAS;30207.42
2015;010010010;11;132;11;TELEFONOS, TELEX Y TELEFAX;927604.16
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;39876.01
2015;010010010;11;132;11;ALQUILER DE EDIFICIOS Y LOCALES;2691960
2015;010010010;11;132;11;ALQUILER DE MAQUINARIA, EQUIPO Y MEDIOS DE TRANSPORTE;26097.5
2015;010010010;11;132;11;ALQUILER DE FOTOCOPIADORAS;3043504.49
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;2681609.91
2015;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE EDIFICIOS Y LOCALES;7134876
2015;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE VEHICULOS;200
2015;010010010;11;132;11;MANTENIMIENTO Y REPARACION DE MAQUINARIA Y EQUIPO;3868130.51
2015;010010010;11;132;11;LIMPIEZA, ASEO Y FUMIGACION;63337556.58
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;4916357.12
2015;010010010;11;132;11;DE CAPACITACION;468628.89
2015;010010010;11;132;11;OTROS NO ESPECIFICADOS PRECEDENTEMENTE;88733112.8
2015;010010010;11;132;11;TRANSPORTE Y ALMACENAMIENTO;167310.49
2015;010010010;11;132;11;SERVICIOS ESPECIALIZADOS;2399083.58
2015;010010010;11;132;11;PRIMAS Y GASTOS DE SEGUROS;409733.09
